"Title:","Numbers of Children Waiting for Adoption from the Trends in Foster Care and Adoption in the United States Database"
"SubTitle:",""
"Time:","2010 - 2022"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","Children?s Bureau (U.S. Department of Health and Human Services) (2024-05-08). Trends in Foster Care and Adoption in the United States: Numbers of Children Waiting for Adoption, 2010 - 2022. Sage Data. Sage Publishing Ltd. (Dataset). Dataset-ID:  094-001-005 doi:https://doi.org/10.6068/DP19C71D3780036"
"ColumnCount:",16
"RowCount:",51

"State","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010"
"California",15349,15386,15019,14436,14866,15097,14689,14180,14096,15667,13136,14630,14892
"Texas",10232,11639,12319,12932,13822,13443,12377,12643,13238,12991,13154,13481,13108
"Florida",8615,9046,9073,9283,9144,7977,6870,5945,5558,3465,5129,4994,5022
"Ohio",3679,3526,3472,3677,3579,3373,3201,3010,2942,2976,2655,2789,3013
"New York",3610,3570,3605,3806,4233,4578,4832,5271,5463,5843,6061,6417,6603
"Oklahoma",3393,3712,3617,3787,4018,4075,4372,4288,3973,3238,2805,2961,2869
"Illinois",3391,2798,2653,2767,2710,2848,2966,2806,2903,2988,2813,3151,2953
"Massachusetts",3342,3486,3548,3646,3382,3656,3481,3051,2771,2492,2469,2675,2758
"Michigan",3167,3321,3660,3821,3898,3646,3416,3408,3457,3337,3586,4237,5235
"Kentucky",3038,3234,3302,3152,2834,2695,2606,2579,2420,2224,1999,1918,1951
"Arizona",3015,3088,3643,3876,4216,4749,4713,4060,3641,3579,2914,2822,2673
"Pennsylvania",2975,3051,3212,3411,3763,3711,3092,2425,1896,1909,1924,2066,2909
"Georgia",2928,2907,3012,3456,3633,3404,2998,2544,1983,1799,1648,1567,1690
"Indiana",2748,3179,3575,4302,4778,4418,3773,2965,2731,2437,2451,2886,3192
"North Carolina",2690,2946,2862,2824,2363,2929,2943,2739,2416,2172,2071,2234,2427
"Missouri",2451,2677,2583,2745,2783,2825,2584,2513,2325,2162,2067,2056,1992
"Washington",2450,2582,2803,3478,3733,3569,3278,3075,3213,3101,2860,2783,3089
"West Virginia",2312,2454,2705,3402,3320,2980,2478,1496,1388,1364,1407,1474,1241
"Kansas",2221,2464,2303,2376,2616,2583,2392,2340,2116,1843,1853,1817,1825
"Tennessee",1935,1872,1829,1743,1625,1322,1301,1268,1178,1077,949,792,789
"Virginia",1810,1899,1967,1934,1766,1826,1886,1708,1532,1503,1519,1372,1562
"Minnesota",1633,1818,1869,1951,2026,1990,1541,1285,1188,1219,1191,1143,1074
"Alabama",1598,1675,1761,1688,1346,1272,1075,1020,1044,1084,1156,1297,1271
"South Carolina",1513,1438,1623,1568,1591,1470,1344,1213,1211,1226,1336,1415,1699
"Nevada",1470,1606,1702,1667,1664,1672,1619,1999,2067,1957,1880,1970,2094
"Wisconsin",1419,1391,1412,1540,1406,1397,1389,1267,1148,1153,1129,1163,1159
"Arkansas",1213,1232,1142,1182,1351,1330,1198,1122,1034,994,1023,1414,1604
"Mississippi",1154,1139,1384,1610,1730,1867,1553,1437,1184,1000,955,880,843
"Connecticut",1062,1137,1398,1556,1248,1157,1111,1197,1343,1166,1385,1344,1261
"New Jersey",1061,1372,1588,1895,2267,2479,2567,2698,2593,2443,2227,2294,2464
"Alaska",1014,972,1019,951,1006,1032,949,783,704,866,805,720,696
"Iowa",985,1004,1116,1358,1206,1137,1111,1014,1050,964,961,1088,1068
"Louisiana",973,1041,1164,1337,1395,1378,1297,1220,1033,961,1089,1162,1091
"Oregon",912,1129,1043,1576,1744,1586,1666,1757,1897,1854,1873,1830,1827
"Colorado",823,872,921,1007,997,953,1038,926,1008,896,917,1098,1246
"Nebraska",807,755,658,689,817,771,715,709,692,705,904,831,768
"New Mexico",704,785,1040,1194,1205,1424,1263,1134,990,880,834,786,777
"Maine",665,756,610,510,482,576,647,666,590,564,480,511,575
"Utah",585,698,686,684,728,802,630,594,629,612,570,567,553
"Montana",553,680,816,1018,977,831,633,580,587,498,403,460,495
"South Dakota",503,485,446,396,371,365,361,308,336,354,397,376,418
"North Dakota",431,416,443,421,429,396,355,296,262,237,211,230,227
"Maryland",372,354,347,371,385,481,468,508,464,498,559,772,883
"Idaho",308,320,461,557,532,287,390,318,322,328,278,334,389
"Vermont",250,266,308,331,324,329,387,304,232,213,226,196,180
"Hawaii",249,244,273,278,290,247,177,142,187,154,223,296,351
"Rhode Island",241,283,364,358,316,317,296,303,212,250,222,267,309
"New Hampshire",238,214,214,253,270,214,168,177,167,189,182,167,227
"Delaware",148,107,160,201,245,281,254,223,202,218,243,244,253
"Washington DC",139,156,162,202,181,190,217,233,251,276,313,359,418
"Wyoming",107,156,131,155,122,69,61,69,81,85,115,130,111



"Publisher:", "Children?s Bureau (U.S. Department of Health and Human Services)"
"Copyright:", "The data contained in Sage Data is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."