"Title:","Numbers of Children Exiting Foster Care from the Trends in Foster Care and Adoption in the United States Database"
"SubTitle:",""
"Time:","2010 - 2022"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","Children?s Bureau (U.S. Department of Health and Human Services) (2024-05-08). Trends in Foster Care and Adoption in the United States: Numbers of Children Exiting Foster Care, 2010 - 2022. Sage Data. Sage Publishing Ltd. (Dataset). Dataset-ID:  094-001-004 doi:https://doi.org/10.6068/DP19C71D27E9D33"
"ColumnCount:",16
"RowCount:",51

"State","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010"
"California",21775,24199,23704,26622,25879,28539,31211,31501,30317,30872,30267,31810,36054
"Texas",16067,16887,17552,19673,19403,18183,18227,17502,16420,16661,16892,15717,13711
"Florida",11627,12654,13712,14572,15505,15094,15433,14479,13533,15250,15332,14253,14579
"Ohio",9445,10324,10458,11053,11014,10234,9921,9328,9340,9212,9356,9471,9085
"Arizona",8207,7379,8659,9359,10549,11866,11972,10819,10007,9455,7806,7259,7180
"Indiana",7744,8691,9219,10904,12132,11178,9478,7908,6813,6459,7102,8600,8883
"Pennsylvania",7617,7803,8062,10058,9931,9661,9736,9307,9455,8686,9008,10836,11299
"New York",6471,7040,6478,7968,8400,8971,9723,8736,9854,10551,10617,12382,13243
"Missouri",6310,6146,6394,6642,6559,6640,6924,6519,5927,5567,5476,5420,5057
"Illinois",5915,6193,5328,4716,4278,3793,3992,4266,3964,3802,4499,4442,5629
"Tennessee",5350,5331,5835,5081,5241,4688,4786,4591,4587,5081,4785,4314,5019
"Kentucky",5322,5278,5544,6635,5993,5409,5288,5008,5125,5011,4885,5108,5132
"Georgia",4953,5539,6248,7309,7257,6891,6931,6512,6006,5935,5954,5612,6438
"Minnesota",4790,5214,5429,6614,6771,6225,5788,5351,5240,5473,5399,5626,5719
"West Virginia",4543,4759,4515,4772,4436,3824,3465,3452,3513,3517,2832,3030,2973
"Washington",4300,4460,5493,5673,5422,5423,5293,5505,5524,5014,5079,5522,5941
"Michigan",4242,4945,5360,6169,5984,6312,6595,7427,7666,7646,7869,8502,9286
"North Carolina",4119,4107,4062,4518,4720,4745,5126,4687,4486,4365,4702,4803,4779
"Massachusetts",4082,4404,4969,5940,5850,5836,5769,5669,5065,5115,5118,5464,5961
"Oklahoma",3970,4028,4273,4802,5320,5824,6211,5678,4888,4542,4502,4352,5210
"Wisconsin",3669,3815,4329,4617,4723,4512,4239,4360,4241,4315,4403,4292,4465
"Alabama",3278,3741,3603,3958,3631,3379,3329,3244,2994,2888,3346,3143,2770
"Kansas",3253,3199,3607,3998,3696,3385,3628,3374,3333,3404,3471,3467,3173
"Colorado",3022,3899,3936,4402,4741,4873,4898,4805,4522,4691,5181,5502,5886
"South Carolina",2942,2758,3349,3779,3591,3538,3445,3312,3059,2801,3409,3533,3803
"Arkansas",2836,2655,2882,3107,3578,3770,3405,3213,3405,3614,3802,3774,3718
"Iowa",2749,3269,3654,3819,3617,3436,3365,3813,4054,4229,4179,4365,4503
"Nevada",2736,2961,2909,3181,2965,3145,3556,3145,3250,3253,2960,2887,2828
"Louisiana",2635,2551,2752,3317,3458,3444,3715,3766,3613,3429,3470,3538,3648
"Oregon",2584,3012,3437,3687,3759,3660,3181,3511,3667,4024,3829,4460,4262
"Virginia",2240,2595,2687,2701,2849,2842,2892,2745,2796,2856,2928,2991,3143
"Mississippi",1990,2040,2307,2898,3181,2890,2910,2598,2386,2340,2300,2358,2305
"New Jersey",1844,2100,2426,3700,3863,4196,4506,4760,4742,5136,4767,4811,5239
"Nebraska",1798,1676,1874,2137,2438,2369,2174,2231,2673,3188,2939,3245,3194
"Montana",1764,1954,2235,2353,2154,1829,1558,1425,1257,1165,1131,977,891
"Maryland",1725,1858,1325,1973,2237,2196,2176,2131,2397,2594,3047,3167,3649
"Utah",1501,1751,1721,2084,2263,2108,2159,2406,2071,2172,2084,2154,2042
"Connecticut",1412,1553,1397,1794,1560,1527,1483,1448,1486,1558,1505,2099,2671
"Alaska",1253,1291,1338,1337,1251,1346,1044,1006,919,860,873,834,959
"Idaho",1049,1097,1113,1289,1143,1095,1076,975,1227,1096,1176,1297,1335
"Hawaii",952,1138,1089,1169,1043,1090,906,978,919,980,1099,1118,1232
"New Mexico",950,1188,1372,1609,1793,1824,1715,1655,1808,1669,1644,1778,1847
"South Dakota",938,982,1108,1027,1145,968,961,899,1013,1043,1144,1429,1407
"Rhode Island",885,1059,917,860,1107,1017,1214,1110,1180,1113,1228,1403,1380
"Maine",863,979,892,901,883,1067,921,890,788,666,667,785,841
"North Dakota",801,960,901,1020,1043,970,991,976,813,785,778,703,835
"Wyoming",769,765,972,1081,1007,977,1018,1000,894,909,830,979,994
"New Hampshire",598,597,658,886,828,565,604,565,580,432,398,474,529
"Vermont",567,580,665,743,740,745,751,713,600,634,596,542,653
"Washington DC",260,306,298,389,361,380,422,422,536,568,686,781,768
"Delaware",256,280,353,379,430,403,383,324,345,458,487,421,455



"Publisher:", "Children?s Bureau (U.S. Department of Health and Human Services)"
"Copyright:", "The data contained in Sage Data is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."