"Title:","Numbers of Children Served in Foster Care from the Trends in Foster Care and Adoption in the United States Database"
"SubTitle:",""
"Time:","2010 - 2022"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","Children?s Bureau (U.S. Department of Health and Human Services) (2024-05-08). Trends in Foster Care and Adoption in the United States: Numbers of Children Served in Foster Care, 2010 - 2022. Sage Data. Sage Publishing Ltd. (Dataset). Dataset-ID:  094-001-001 doi:https://doi.org/10.6068/DP19C71D32BE835"
"ColumnCount:",16
"RowCount:",51

"State","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010"
"California",67699,72070,74441,77889,78215,80408,85896,87484,87087,86255,84820,86563,92254
"Texas",37425,44929,47543,51097,52361,50331,48963,47492,46777,46286,46505,45826,42658
"Florida",34120,36161,37230,39135,39909,39735,39243,36843,33245,33290,34868,34013,33322
"Illinois",26658,27277,25896,23032,21118,19722,19998,20903,21009,20684,21250,21606,23854
"Ohio",24391,25773,26475,27440,26744,25195,23646,22533,21859,21435,21233,21540,21025
"New York",20605,21697,21975,24054,24991,26316,27314,27890,32276,33526,34541,37344,40026
"Arizona",20565,22269,22258,22689,23909,26897,29090,28557,26253,23854,21267,18142,17110
"Pennsylvania",20082,21456,22416,25584,26497,26552,25822,25388,24293,22955,23523,25151,32641
"Indiana",19201,21932,24302,27206,30693,32081,29315,24935,21258,18841,18292,19378,21157
"Missouri",18824,19340,19044,19327,19218,19030,19332,18678,17760,16191,15460,14639,13744
"Georgia",15791,16043,17618,20176,21050,20037,19312,17447,15011,13526,13618,13203,13333
"North Carolina",15377,15345,14705,15414,14936,15501,15687,15011,14345,13401,13163,13404,13607
"Tennessee",14403,14558,14674,14371,14170,13246,12480,12188,11929,12844,12225,11289,11026
"Kentucky",13227,13647,14219,15783,15348,13555,13027,12546,12631,12173,11864,11767,12115
"Michigan",13182,14474,16021,17845,18105,18230,18194,19402,21176,22261,22388,23587,25710
"Massachusetts",12906,13594,14289,15802,16457,16752,16679,15947,15002,13652,13640,14083,14919
"Washington",12349,13354,15108,16582,16821,16778,16252,16170,16154,15222,14685,15055,16077
"West Virginia",11495,11911,11849,12094,11642,10561,9281,8436,8069,7906,7394,7505,7085
"Oklahoma",10983,11507,12331,13113,13962,15139,16301,16841,16345,15077,13622,12639,13056
"Minnesota",10923,12084,13192,15014,16042,15876,14581,12961,11564,11114,10729,10711,10782
"Wisconsin",10290,10586,11434,12271,12540,12226,11621,11451,11158,10852,10785,10833,11035
"Kansas",10061,10284,10849,12064,11764,11138,10930,10597,10095,9845,9473,9319,9152
"Alabama",8538,9081,9175,9741,9561,9015,8381,7989,7520,7322,7907,8395,8119
"Oregon",7410,8281,9463,10529,11141,11418,10829,10899,11062,12226,12515,12991,13263
"Virginia",7279,7570,7451,7612,7754,7635,7782,7479,7393,7182,7507,7836,8555
"Colorado",7155,8147,8740,9742,10283,10577,10630,10449,10309,10542,11184,11990,12866
"Iowa",6797,7413,8314,9774,9866,9388,8930,9806,10032,10570,10441,10709,11036
"Arkansas",6788,7166,7159,7230,7811,8545,8285,7759,7211,7411,7513,7506,7474
"Nevada",6783,7144,7281,7722,7497,7553,7822,7634,7793,8029,7705,7525,7635
"South Carolina",6735,6702,7419,8300,8047,7579,7413,7038,6520,5989,6522,7354,8290
"Louisiana",6317,5852,6294,7237,8020,7904,8145,8293,7910,7384,7513,8069,8101
"Mississippi",5805,5570,5884,7039,7882,8330,8396,7371,6766,6119,5999,5955,5887
"Nebraska",5671,5511,5479,5643,5962,6564,6186,5956,6339,7749,8055,8362,8552
"Maryland",5334,5491,5124,5789,6210,6119,6017,6045,6429,7061,7931,8627,9747
"Connecticut",4707,5041,5430,6145,5788,5662,5602,5356,5407,5821,6068,7025,7127
"New Jersey",4625,5287,6202,8116,9382,10131,11019,11617,11847,12043,11582,11215,12080
"Montana",4434,5036,5641,6050,6098,5682,4924,4232,3602,3397,3066,2771,2614
"Alaska",3943,4119,4198,4216,4032,4085,3868,3659,3109,2842,2727,2669,2750
"Utah",3568,3870,4094,4572,4874,5062,4997,5110,5031,4881,4897,4855,4928
"Maine",3291,3181,3183,2997,2651,2651,2758,2763,2652,2453,2179,2081,2387
"New Mexico",2748,3027,3489,3933,4299,4479,4325,4126,4174,3746,3558,3637,3716
"Rhode Island",2608,2882,3057,3058,3109,2863,2868,2948,2973,2902,2935,3209,3466
"Idaho",2597,2693,2647,3041,2956,2687,2594,2323,2435,2437,2410,2651,2797
"South Dakota",2553,2629,2791,2733,2705,2571,2377,2179,2187,2296,2543,2836,2892
"North Dakota",2346,2461,2451,2518,2613,2461,2388,2332,2178,2012,1887,1769,1913
"Hawaii",2292,2556,2682,2875,2730,2697,2511,2338,2140,2065,2178,2240,2466
"New Hampshire",1779,1688,1842,2111,2140,2039,1810,1597,1465,1282,1166,1216,1368
"Vermont",1663,1634,1741,1985,2045,2013,2072,2045,1721,1604,1566,1546,1579
"Wyoming",1525,1601,1787,2075,2098,2062,2011,2082,1879,1890,1779,1843,1933
"Delaware",804,724,820,964,1131,1194,1163,1006,980,1160,1286,1266,1194
"Washington DC",687,810,875,1061,1068,1131,1248,1294,1407,1602,1902,2212,2834



"Publisher:", "Children?s Bureau (U.S. Department of Health and Human Services)"
"Copyright:", "The data contained in Sage Data is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."